time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.0089,10476,10604,-16100,5547,-10364,1188
0.0272,8636,12820,-15556,6143,-16453,-1729
0.0469,14768,12120,-19720,7193,-11719,-7951
0.0666,13352,13808,-21240,9522,-5551,-13414
0.0861,10888,15812,-18524,12398,-4821,-22369
0.1073,15396,11336,-20988,5225,-30443,-15059
0.1268,32767,13724,-27296,18138,-16357,-23437
0.1465,23380,16824,-29400,5058,9900,-7774
0.1661,-17544,-200,-16516,-5141,13225,-12133
0.186,-14700,2120,-13220,11626,-5920,-32768
0.2083,4904,20564,-21452,-18819,-5022,5547
0.2275,-9692,-11448,-27176,-25412,12880,13473
0.2465,-16048,-18840,-20476,1575,2203,-6431
0.2666,1272,8180,-16220,12008,18941,-7771
0.2869,-6360,21472,988,-12024,23742,13780
0.3073,-10744,10064,-5404,-23364,13096,20779
0.327,-2456,-1708,-13680,-20167,19666,17282
0.3472,616,-3908,-14160,-9214,26948,12594
0.3659,6196,2272,-16084,-4356,32767,13792
0.3871,-5692,2756,-13856,-3760,32767,15808
0.406,-15112,2444,-11008,-1301,32767,10321
0.4268,-13732,15792,-8444,-4803,28588,12108
0.4485,-5976,25184,-14276,-24507,23074,23924
0.4672,-7200,26088,-18108,-32768,25077,31823
0.4867,-5684,13688,-21380,-32768,6974,32767
0.5065,15284,-5736,-30652,-28791,6951,32767
0.5264,8932,-11792,-26684,-1424,31929,25014
0.5483,-8416,-5280,-4740,16894,12256,9184
0.5667,-8760,1632,4116,15114,-13606,-1215
0.5865,7212,8796,-8408,4432,-32768,1532
0.6068,8708,-2924,-21444,497,-14099,-6195
0.6269,-14136,-13612,-23716,28866,-6593,-32768
0.6475,18836,31028,-30656,32767,-32768,-32768
0.6659,32767,32767,-29172,-1951,24935,4304
0.6867,-15872,-6968,-25016,-24641,32767,32767
0.7067,-32768,-21188,-13896,26248,-24611,-32768
0.7267,1180,10448,-32768,32767,-29581,-32768
0.7474,8508,23744,-23252,29565,21421,-14107
0.7676,-29356,17984,-6100,634,-6314,-979
0.7867,-12608,22068,-12840,1485,-25806,-24056
0.8065,21888,16688,-26996,-16973,-20966,3301
0.8267,16708,-112,-21824,-5767,7627,10646
0.848,-7404,768,-11692,4868,-5540,3957
0.8661,-8192,11536,-16280,-629,-17090,6906
0.8872,-752,10700,-14264,-7594,-19057,8072
0.9068,8084,13344,-13420,-9466,-19869,11397
0.9268,8620,12468,-13764,-13132,-20271,23293
