time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.0093,-2560,10908,-14288,1504,-5484,-6645
0.0289,2976,12972,-14796,-2014,-5173,-51
0.0498,216,6764,-15980,-1592,-6289,-1392
0.068,2168,7108,-16760,-99,-6553,-1133
0.0863,4100,5912,-17400,862,-6054,-851
0.106,3712,6620,-16360,1295,-5419,-1771
0.1274,3308,10304,-15356,1305,-8718,319
0.147,3820,10448,-15552,1130,-7816,-429
0.1671,3196,10680,-16132,1152,-8742,-1569
0.1866,5420,11484,-16748,89,-7309,-5409
0.2067,5308,11068,-17008,-3,-11280,-2821
0.2277,10948,8280,-20388,3550,-10392,-5302
0.2469,11908,11040,-18136,6930,-7443,-5892
0.2669,14500,9168,-16520,8292,-6222,-5426
0.286,11796,8880,-17556,12097,-2238,-11701
0.3077,7696,16364,-13636,10914,-2900,-11559
0.3264,8188,11460,-15672,6978,-4873,-12423
0.3461,5008,11196,-12856,2068,2236,-20572
0.3675,212,8252,-13668,-5293,-18476,-1462
0.3863,10408,-3868,-24656,-6225,-11821,-12634
0.4065,12472,-2664,-24260,2728,1782,-15061
0.4269,4084,-2204,-20544,4006,9842,-12927
0.4477,-8652,-1600,-19164,5504,14134,-13988
0.4676,-12308,5580,-15076,2773,-2389,-9038
0.4871,676,14068,-16852,-5443,4489,417
0.5068,-4040,9072,-12552,-13047,11274,10579
0.5265,-7464,4504,-11728,-13247,9826,10374
0.547,-3440,1808,-13512,-9262,15331,7753
0.5675,-744,5612,-13472,-8783,17587,11571
0.5859,1448,5192,-14476,-7537,22918,11082
0.6068,1228,3836,-12440,-5833,29021,9117
0.6269,-1644,2392,-12216,-5324,27417,10195
0.6467,-2168,4480,-15352,-6432,29878,10943
0.6675,-4428,8724,-17428,-11749,30408,14843
0.686,-6528,15732,-19112,-15499,32767,9862
0.707,-8624,24120,-14312,-27287,28812,20833
0.7266,-6596,22952,-19448,-32768,17808,30849
0.7464,3272,15220,-31636,-32768,4408,32767
0.7667,5392,2504,-30604,-30560,17767,32767
0.7861,184,-16024,-20148,-8469,12113,22143
0.8068,7496,-3772,-11444,10414,15868,7536
0.8262,1200,3200,104,17070,10681,973
0.846,-596,9320,3004,8378,-11385,-1866
0.8671,8976,6032,-8900,-813,-18680,-2125
0.886,1848,-2836,-20232,168,-7148,-9609
0.9067,-3864,-9188,-17496,28464,-17233,-32768
