time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.0099,18592,2220,-28832,145,11214,-2727
0.0271,-11372,-5360,-17824,6428,12990,-17027
0.0498,-15944,5988,-12764,5487,-14668,-18583
0.0678,3304,2528,-19960,-4185,-10393,-11957
0.0864,5196,-3040,-20208,-5409,4643,-7066
0.1062,-4776,-6700,-15256,-3721,7159,-8363
0.1274,-9172,-5380,-17408,-1338,-1863,-1018
0.1465,-852,832,-17272,4458,5911,-11434
0.1667,1272,14844,-11344,-3384,10311,2801
0.186,-4280,5928,-12476,-11340,10904,10898
0.206,-5100,2292,-14888,-10056,15294,8007
0.2272,-5840,6168,-12756,-10163,14928,11007
0.2465,-2812,9388,-13392,-12752,14242,17831
0.2669,-3532,5128,-12968,-14554,16858,18904
0.2859,-3256,5476,-10856,-13794,18958,16298
0.3079,-1708,4380,-11428,-14583,22995,16458
0.3265,-1640,5472,-13612,-13960,25154,14588
0.3466,-4928,12688,-13788,-14188,28731,14908
0.3676,-9296,18192,-10816,-24993,18602,22122
0.3865,-5356,16836,-16672,-32768,12561,26909
0.4068,-864,15524,-22628,-32768,7454,32349
0.4269,7024,9320,-28268,-28747,7732,32007
0.4467,7404,2100,-22432,-20269,5680,29387
0.4685,7840,-8908,-16396,-1166,13507,9117
0.4866,-3944,-3968,-12072,13079,11548,-6516
0.5067,-6768,8500,-2908,18325,-3391,-13501
0.5261,2092,12100,-7072,9724,-19668,-7531
0.5477,11268,3212,-18936,8812,-12268,-12103
0.5675,13360,6164,-23084,13120,-7486,-24149
0.5858,20788,21492,-12476,16334,18444,-18352
0.6064,1360,31788,-3684,2873,4842,-3954
0.6262,-108,18912,-9624,-8942,-10975,-2088
0.647,13496,5532,-21176,-9968,-15277,271
0.6678,15992,-2376,-22260,3007,6579,-5852
0.6871,-3260,4080,-9560,10255,6819,-7573
0.7092,-364,7680,-13044,5701,-10372,-3916
0.7263,7504,9208,-18428,3100,-6310,-1784
0.7465,5800,11120,-14856,3111,-6147,-2538
0.7671,7936,12808,-9628,2386,-10769,2149
0.7864,11084,9492,-10668,-701,-13755,9242
0.8071,9988,2740,-13864,407,-14994,10110
0.8262,9316,2260,-15020,3404,-13866,6688
0.8476,8300,5184,-15188,3319,-12229,2561
0.8682,5348,8724,-13512,1204,-10714,1427
0.8868,2828,10240,-12576,-1783,-11993,1841
0.9073,2872,8968,-13976,-3019,-12580,956
0.9261,4680,6936,-15936,-2807,-10089,252
0.9464,4016,5696,-15696,106,-8078,-3547
0.9671,5124,6280,-14968,2078,-3774,-7626
0.9866,2436,8884,-13856,1784,-4611,-7404
1.0066,3452,9592,-13776,286,-7613,-6543
1.0265,6156,6652,-14720,-452,-7676,-5883
1.0467,8160,7016,-16408,-1012,-7201,-4292
1.0679,9124,4972,-15076,4300,-5202,-9566
1.0859,9280,6252,-15048,6074,-3252,-10721
1.1073,7100,7680,-14580,6165,-3912,-12633
1.1261,6360,8528,-15380,6902,-4654,-13744
1.1463,5548,7692,-18172,8080,-3965,-16331
1.1673,7804,6452,-27868,8890,-87,-21230
1.1859,2804,9664,-15252,11012,-1696,-20820
1.207,9996,12948,-19396,14042,-3286,-25639
1.2263,12812,25832,-16040,16884,12311,-32705
1.2466,6480,32767,-5808,3475,-12541,-6950
1.2671,13652,22840,-12992,760,-31313,-774
1.2861,26356,12256,-26308,1814,-14976,-3565
1.3061,10556,8492,-26300,574,3407,4208
1.3263,-9304,-7448,-18504,6791,2217,-15952
1.3473,-1940,2616,-12832,5025,-9590,-17868
1.3671,7100,296,-22316,-2801,285,-7485
1.3869,-4732,-316,-17260,-4021,14038,-1290
1.4064,-18584,-4736,-15652,-4191,-3275,3460
1.4266,-3260,7504,-14324,-1387,-2779,785
1.4469,1524,12852,-10372,-12272,12116,14086
1.4686,-6088,2516,-10576,-14344,11899,14894
1.4871,-5236,1516,-12784,-12228,15998,11567
1.5096,-5608,4656,-11956,-11948,17114,12592
1.5263,-2168,7600,-11256,-13943,12271,19737
1.5467,2312,2744,-13284,-13742,21474,21608
1.5677,-4068,768,-11664,-11838,21549,20977
1.5869,-5480,3676,-12736,-12230,20112,23267
1.6074,-3776,11188,-14384,-13132,22723,24153
1.6262,-6236,18796,-14808,-21333,19184,32767
1.6464,-6664,15872,-17592,-29137,15522,32767
1.6712,-204,16420,-19884,-29710,4708,32767
1.6859,11004,11772,-27372,-24590,5455,32767
1.7073,12632,3692,-30332,-18038,13991,32767
1.726,2556,-8964,-14008,1207,24360,24827
1.7471,-10300,-1332,2800,15167,-197,3611
1.7672,1740,6532,660,6333,-24276,-4135
1.7859,16208,8932,-11156,-2952,-23716,2730
1.8064,4372,-4800,-22332,214,-9298,-1237
1.8264,-1932,-2844,-15852,25002,-21003,-24085
1.8466,32767,9812,-29056,29877,-9321,-32768
1.867,32720,27692,-19708,20567,32767,-5288
1.8858,-19872,13780,-12144,11116,16376,-7089
1.9076,-13920,620,-16952,13863,-13550,-28928
1.9264,4168,4908,-23080,17801,-8634,-23333
1.9467,-6016,4788,-15204,13387,5482,-18016
1.9686,-16440,9684,-14564,5545,-13053,-15215
1.9878,2252,15204,-21208,8623,-13554,-27334
2.0064,21080,20828,-19768,-801,1304,-8063
2.026,5172,9704,-13452,-4386,5747,4555
2.0462,-8140,3356,-11872,329,-9324,-921
2.0687,-164,6072,-18524,-570,-13907,1229
2.0861,3548,5892,-17308,-147,-8421,-1316
2.1066,6156,10372,-13152,404,-10617,1227
2.126,8736,13308,-13112,-2830,-10835,9823
2.1471,3372,7860,-13536,-5694,-13497,15680
2.1671,4892,-324,-18516,-4597,-13130,10313
2.1867,7708,-2292,-18920,3550,-7747,1848
2.2064,6384,10000,-12376,5325,-6810,677
2.2262,4636,14256,-11960,-1823,-11487,6419
2.2473,4276,6768,-16072,-5975,-12952,7361
2.2673,3864,3616,-15668,-4877,-13268,2443
2.2866,8068,3396,-14388,-2104,-11077,-1990
2.3071,9812,5956,-13080,-2451,-8632,-5205
2.3263,8880,5660,-14008,-3824,-11819,-4004
2.3467,11180,3048,-17144,-1606,-13194,-7588
2.3669,12336,4220,-17300,1450,-9713,-11264
2.3869,9884,6888,-17748,3989,-9394,-13305
2.4073,9736,8796,-22380,7265,-8260,-13764
2.4268,11208,5276,-22932,10974,-753,-16580
2.4468,5168,8952,-17404,14536,-2424,-18608
2.4682,4492,16988,-20112,14199,-6033,-17382
2.4863,4988,26700,-12956,15030,-8936,-13966
2.5073,17300,24028,-5272,-183,-23767,-19853
2.5264,24744,32732,-15872,-12881,-32768,16916
2.5476,19408,-6344,-32768,-16105,740,4190
2.5672,-7992,-17940,-21324,4354,14056,-25883
2.587,-4212,-360,-16552,8617,-9435,-28694
2.6066,7372,11792,-20392,-4942,13169,-7604
2.6263,-16328,1400,-15440,-12393,14794,3643
2.6462,-18796,-10420,-17868,-766,-6992,104
2.6676,2720,7124,-15388,-1420,8179,-1499
2.6867,-2380,10308,-7116,-9048,18975,9888
2.7075,-6728,2172,-8292,-11311,14870,8234
2.7263,-1392,2508,-12624,-9939,21240,5253
2.7464,-6076,2144,-13728,-8947,19977,4437
2.7682,528,7548,-15872,-7753,16464,11355
2.7873,228,5888,-13844,-9939,22605,15287
2.8067,-5084,4128,-11408,-10681,20289,16254
2.8264,-3752,5396,-11160,-12551,21015,16548
2.8467,-2608,8120,-14972,-17008,22480,22148
2.8687,-8256,11520,-19436,-18754,26654,20813
2.8869,-9008,15380,-12324,-21512,19174,23129
2.9076,-1484,12692,-17012,-26456,13412,26875
2.9264,4492,11088,-22820,-24058,8716,31156
2.9471,5016,10096,-23236,-20185,11645,32623
2.9677,3320,3300,-19012,-12169,10805,24028
2.9859,428,-7464,-13824,-3640,8514,19095
3.0066,-7004,-2976,-5984,11530,-2262,-3185
3.0271,1400,9596,-7900,10224,-15313,-5588
3.0463,6028,7856,-11728,4645,-13363,-3604
3.0664,2172,3612,-14060,14217,-11291,-18535
3.0857,13460,19884,-16812,22739,-21658,-32768
3.106,32767,32767,-23852,3323,17889,-3613
3.127,-1760,10624,-14684,-1832,32100,-1183
3.1464,-14836,3164,-4564,10839,-11059,-25699
3.1666,16804,13704,-20660,6283,-14257,-16785
3.1859,14048,6852,-21312,-1777,7231,-801
3.2058,-10776,-2780,-15540,-328,13247,-8989
3.2278,-14472,11504,-9272,11313,-18699,-18138
3.2462,9776,22104,-19716,-2777,-21550,262
3.2668,12796,9316,-16652,-8082,-5181,6101
3.2859,4548,1124,-11416,-493,-10866,26
3.3058,11596,5968,-12624,2306,-14962,3814
3.3273,9612,5992,-13212,2753,-11237,4622
3.3462,7896,8664,-10436,2944,-17120,5704
3.3662,11932,8280,-12128,-238,-16457,6332
3.386,8592,5096,-15136,-1163,-13127,4838
3.4059,3884,5064,-15940,208,-10915,1910
3.4272,1068,6404,-14320,2435,-10453,-1471
3.4464,2172,8716,-13796,2122,-11599,-2339
3.4668,3680,9540,-14588,-83,-8794,-3055
3.4861,1072,7932,-15280,-518,-6926,-5526
3.5061,780,7324,-13416,771,-5661,-13021
3.5268,3612,12552,-14708,-1320,-7208,-10206
3.5463,5884,10536,-15396,-3448,-7501,-8349
3.566,9108,6888,-12748,-2279,-10328,-8178
3.5858,14804,3944,-14628,186,-12358,-8006
3.6059,17016,3144,-19136,4059,-5004,-10016
3.6277,10176,4596,-14484,9264,-9299,-7594
3.647,12484,6176,-21544,16678,13595,-29818
3.6663,5964,14468,-13700,11219,-14291,-12000
3.6859,15752,13436,-21184,15431,-7364,-21009
3.7057,11748,22076,-16320,16963,-762,-19225
3.7272,20896,28248,-6156,22671,-24454,-31120
3.7479,26540,32767,-12948,-8505,-32768,29498
3.7679,19396,3452,-32768,-17676,-902,16906
3.7864,-18440,-25188,-31980,-7710,24377,-14735
3.8079,-24672,-7784,-16860,19344,-21569,-32768
3.8266,17392,7472,-24676,10661,6919,-23202
3.8463,-9068,16868,-7856,-12925,28368,17810
3.8669,-30700,-8900,-10924,-14607,-10538,14352
3.8859,-3064,1472,-18768,-2891,-4277,3050
3.9073,-852,7972,-9764,-8878,22310,12333
3.9261,-10532,292,-3140,-8338,20072,8357
3.947,-3276,892,-8808,-5496,22478,6729
3.9669,-3500,4548,-7004,-5271,25150,10348
3.9861,-6796,6000,-9548,-7401,22550,11924
4.008,172,8416,-9904,-8340,16829,19750
