time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.0083,3920,7224,-14656,1044,-5531,-465
0.0266,4464,7484,-14008,949,-6414,-256
0.0467,4844,7884,-13436,716,-6026,-1667
0.0668,5260,8668,-13908,324,-6065,-2291
0.0868,5004,7688,-14724,1043,-5542,-2492
0.1077,5252,7756,-14964,2440,-6317,-3286
0.1265,6488,6600,-17580,3791,-5723,-3736
0.1469,7460,6104,-17640,6536,-4077,-5881
0.1662,6996,7916,-16896,8376,-3063,-5825
0.1861,5496,10544,-15288,9288,-2333,-7609
0.2079,6140,12004,-16996,9630,-1311,-9197
0.2264,5340,11784,-17668,10146,-186,-10620
0.2469,4512,12392,-16064,11241,1817,-13776
0.2661,4372,14812,-14584,13445,1496,-19853
0.2862,10884,19852,-12140,2664,-18109,-9782
0.3077,18988,25124,-15020,6526,-16928,-891
0.3268,17984,7696,-24992,439,1799,2577
0.347,-6392,-4388,-16160,2944,4931,-2222
0.3665,-15624,1620,-14356,4924,-13255,-12685
0.3873,944,3124,-17032,-692,-15932,-8692
0.4072,5384,-1568,-20908,-4644,-998,-2403
0.4265,-4324,-5612,-15164,-2685,2158,-936
0.4465,-8440,-592,-15156,-2458,353,1566
0.4659,-5436,-8288,-19552,1819,-44,-4628
0.4866,1236,13376,-10372,6014,3410,-2051
0.5064,2536,11388,-10788,-10432,9969,10168
0.5269,-1808,2476,-14188,-9079,14900,5803
0.5475,-3720,5860,-13332,-8510,14718,8686
0.566,-3424,8056,-15556,-10912,13526,14429
0.5877,-1440,5756,-14852,-10248,16997,13092
0.606,-1500,5496,-12564,-10792,18231,14573
0.6265,716,4952,-12340,-10754,19523,13932
0.6476,1120,4536,-13516,-11276,23871,13127
0.6658,232,8764,-14096,-12276,24641,12352
0.6867,-2380,16892,-15060,-19613,23017,19465
0.7067,-1336,13996,-16056,-25852,21802,21154
0.7268,-1228,15944,-18920,-28032,17868,23377
0.7473,1316,15064,-24168,-29942,14273,32086
0.767,180,3744,-21204,-25589,14738,28511
0.7865,-2272,3404,-17552,-17717,4222,22364
0.8067,10932,608,-15176,-8762,3991,15795
0.8267,6788,-3624,-14004,961,13344,9961
0.8469,-2144,-612,-5004,12054,4840,-5583
0.866,2152,10792,-4000,9596,-8777,-4753
0.8878,8576,6240,-10444,3105,-11293,-2572
0.9066,4652,-1708,-15400,7603,-5643,-9608
0.9265,6068,10276,-16912,19715,-10338,-27895
0.947,32164,28628,-19416,17717,927,-21520
0.9659,14188,28400,-16160,5115,29208,-2331
0.9867,-12624,12188,-3168,-751,-5184,-7572
1.0073,12716,6756,-13948,-978,-22222,-12453
1.0272,22220,5716,-22700,412,3254,-545
1.0478,-3800,-2376,-19728,2488,9241,2052
1.0659,-14188,-2272,-9436,15672,-2797,-23272
1.0871,4504,27256,-7056,7655,-19357,-7184
1.1063,14188,19952,-15596,-12062,-12033,9910
1.126,7852,564,-16580,-9298,-9498,8757
1.1466,7332,-1712,-16012,4023,-10600,-20
1.1659,8716,4212,-15708,6245,-7009,2103
1.1889,4552,7556,-11808,6945,-11781,1184
1.206,10032,12496,-10104,4019,-15849,4117
1.226,13436,11516,-13180,-1606,-13899,10919
1.2475,7356,4660,-15012,-2062,-11076,9328
1.2659,3300,3444,-14836,166,-11952,1959
1.2869,6044,6132,-14808,844,-11518,-76
1.3074,4792,6724,-14704,236,-8120,-2185
1.3274,4112,7416,-13340,387,-8655,-3996
1.3478,4784,7608,-13876,-1115,-7244,-4053
1.3658,3196,6348,-15076,-932,-6964,-6019
1.3872,4232,6432,-14864,-257,-6653,-7737
1.407,5180,6988,-14064,-158,-5716,-8732
1.4269,5172,6544,-14820,503,-4581,-10210
1.4468,4784,6392,-15160,1645,-3668,-11288
1.4658,4320,6512,-14828,2639,-3432,-13445
1.4864,4724,8256,-15528,3534,-2824,-13472
1.5074,4660,8956,-14528,3857,-3649,-13850
1.5266,5020,8548,-15456,3956,-4894,-13447
1.5473,5564,7860,-16532,5870,-4067,-16840
1.566,5364,9172,-18904,8062,-2944,-16026
1.5871,6276,9248,-18640,10319,-877,-16872
1.6062,8536,4896,-22764,12832,-1564,-14945
1.6259,9748,7224,-24952,22322,3718,-19842
1.6469,-188,32767,1184,18846,-451,-22701
1.6662,8988,30088,-7840,-9386,-22962,-380
1.687,19912,22500,-18660,847,-32768,-3441
1.7059,29792,19432,-30476,5992,-15081,3881
1.726,9128,4536,-31440,201,7268,13861
