time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.0092,4676,4492,-14312,7518,-1324,-4706
0.0292,3224,4840,-15288,7718,-1724,-4423
0.0504,1368,5044,-15200,7960,-1829,-6884
0.0676,308,7264,-14100,7096,-2167,-7041
0.0865,1292,7724,-13740,5402,-3491,-6450
0.1066,2500,5964,-14656,4039,-3749,-4775
0.1275,2088,4472,-15408,4709,-3787,-4707
0.1463,2236,3860,-16156,5191,-2748,-5688
0.1671,860,4832,-14540,4446,-4755,-2877
0.1865,-692,4400,-14700,3651,-8924,-832
0.207,-796,3568,-17980,2174,-8087,594
0.2283,-2108,2124,-17568,2503,-6052,-809
0.2466,-1764,4172,-15644,2519,-10179,1215
0.2666,20,1964,-18164,354,-8352,2550
0.2863,-2316,-308,-18940,994,-7288,145
0.3059,-3168,1220,-18512,1613,-6392,-3133
0.3276,-4636,2832,-17876,-498,-7658,-1770
0.3466,-4340,3548,-20940,-1106,-8286,-1375
0.3666,156,3736,-23052,-900,-7062,-473
0.3869,-80,2976,-24544,251,-5698,-1496
0.4072,936,1488,-25940,3788,-4175,-3016
0.4269,2388,6692,-24100,-852,-9301,-4013
0.4467,3528,10264,-24224,257,-6611,-5885
0.4687,3992,11760,-21628,-1759,-4730,-5259
0.4873,1116,13792,-19512,-1700,-4649,-7714
0.5067,4200,13252,-20912,-2852,-7540,-7583
0.5261,6052,13324,-18220,-1876,-2911,-15818
0.5466,10496,21380,-11500,-1287,-8702,-17935
0.5675,16544,13760,-18480,-6416,-8793,-9399
0.5858,13032,-492,-21432,-4647,-1126,-13152
0.6064,4380,-3312,-15844,-1706,-6620,-10353
0.6273,8660,-2116,-17944,3751,-4956,-18264
0.6463,7236,3620,-19608,2496,5235,-8816
0.6663,-1952,-1104,-18948,3306,15097,-9106
0.6857,-12064,1164,-14624,1314,2434,-4009
0.7064,-3672,8088,-18680,-3188,-1117,3420
0.7266,-2820,6240,-16636,-10560,5549,10822
0.7457,-4052,2468,-16124,-12076,5252,13287
0.7661,-2908,-248,-18440,-11449,9480,12281
0.7862,-2500,-600,-18620,-8359,10387,10826
0.8065,2284,4716,-16500,-4992,16540,10918
0.8272,-3816,3688,-14608,-5947,18337,15153
0.8457,-7320,1396,-13336,-5326,15125,13009
0.8665,-2540,5812,-15760,-6008,15819,15042
0.8861,-2276,8304,-16712,-9752,21069,18913
0.9063,-3424,7440,-12676,-13988,21762,20053
0.9273,-1208,6228,-15828,-15058,23304,19137
0.9458,344,8552,-15640,-15385,27050,19111
