time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2.4465,6452,-3748,-19856,-14017,-15545,30005
2.4683,4336,-7276,-20912,-3307,-9593,17090
2.4861,2804,2560,-16240,1540,-7038,7895
2.5061,960,12920,-11388,-3070,-9310,10794
2.5272,2468,8020,-11128,-11538,-13994,9642
2.5469,5308,3616,-13512,-12034,-14268,7659
2.5673,5532,4640,-19988,-10538,-11468,6583
2.5864,1704,-320,-19244,-5663,-8343,-798
2.6063,872,2524,-17468,-1573,-9178,-7645
2.6275,7820,6176,-15860,-1654,-9907,-10202
2.6468,12576,6436,-14696,-4998,-9359,-6819
2.6664,10372,3048,-14688,-7766,-10997,-3855
2.6864,6420,560,-18984,-7732,-12780,-4619
2.7068,4784,-4300,-22292,-3180,-10601,-9850
2.7277,1240,2376,-17364,3724,-6440,-22022
2.7465,5832,9860,-18100,2863,-12183,-22533
2.7671,12388,15000,-19720,1103,-10104,-18712
2.7866,12304,15352,-18400,-2512,-5829,-11760
2.8071,4344,15364,-16712,-3260,-3389,-10767
2.8277,-1164,15164,-18104,-3944,-10355,-10873
2.8467,12932,14808,-15488,776,-15469,-23641
2.8671,27212,28916,-17688,-2882,-10520,-13378
2.886,26836,23324,-22660,-15874,3280,6730
2.9067,4636,-9796,-16824,-21488,16220,70
2.9281,-17904,-12968,-16876,1961,-5477,-28159
2.9465,7480,-772,-30488,12479,-13938,-32768
2.9664,12800,28776,-21672,6894,22927,-19159
2.9864,-18688,20504,-16732,-16283,8878,8474
3.0065,-13084,3984,-29700,-17882,-9536,8643
3.0278,-1296,352,-32420,-9042,12416,6230
3.0465,-12160,2276,-21492,-380,20240,3974
3.068,-13900,5088,-16280,4842,17957,781
3.0864,-10236,10576,-11892,4430,19247,5877
3.1066,-8884,10944,-8012,-104,21106,9474
3.1271,-10840,8524,-7908,-4147,21224,13158
3.1464,-9768,2736,-9908,-3699,21775,12425
3.1663,-7976,1968,-8492,-1133,24009,9969
3.1863,-5764,6544,-7916,-2503,24558,12331
3.2064,-5424,7160,-9916,-5652,23752,19782
3.2271,-4368,3660,-10384,-6181,23890,20319
3.2466,-504,2652,-7560,-5334,24515,21419
3.2677,3616,5140,-10012,-4790,24746,23373
3.2861,7044,5828,-10348,-4376,27837,21436
3.3062,4364,10892,-14320,-6301,23823,21329
3.3273,3092,15288,-23236,-7433,19775,19626
3.3468,4416,6728,-19724,-7259,22786,19391
3.367,-372,4028,-13792,-3024,18753,13244
3.3862,5480,7568,-9960,-3157,12875,10762
3.4066,5420,4144,-6684,-5726,10543,10725
3.4284,1448,-2748,-4436,-2155,-656,5857
3.447,2212,-6364,-9936,2653,-9827,268
3.4675,4232,-7140,-14996,9156,-12931,-6411
3.4865,-4276,-3112,-13048,18131,-3688,-20642
3.5066,-1424,11648,-11376,31828,-32768,-32768
3.5269,32767,32767,-32768,32767,-32596,-32768
3.5463,32767,32424,-32768,-26054,32767,32767
3.5669,-32768,-32768,-17252,10706,32767,-16303
3.5865,-32768,-16632,-9596,32767,-32768,-32768
3.6076,5052,28332,-26388,32472,-30505,-32768
3.6277,2204,30040,-13620,3059,-781,12770
3.6467,-22428,7808,-26828,-4687,-29673,-4855
3.6688,6328,8500,-32768,-8717,-31521,-5497
3.6872,19696,460,-32768,3365,12362,902
3.7067,-10940,2108,-11160,13072,11753,-1475
3.727,-14136,10508,-8228,5523,-18257,1625
3.7466,3904,11144,-18568,-3084,-21347,9706
3.7673,9652,4836,-21428,-4780,-10885,17371
3.786,4260,2420,-18384,-1873,-7973,18200
3.8063,2092,6748,-15840,678,-6300,12736
3.8276,964,15432,-11748,-2742,-7931,15759
3.8464,-1976,13244,-13260,-7977,-12188,18547
3.8666,1980,8664,-16048,-9893,-14720,22770
3.8863,4412,6308,-17700,-4256,-9641,15046
3.9071,3500,4912,-16340,-4796,-6043,10646
3.9276,-1000,5432,-15592,-2758,-12085,7124
3.9471,6376,4744,-15352,-2867,-9070,3087
3.9683,5208,4296,-11968,-6157,-10679,3613
3.9869,5868,3516,-18132,-9688,-14121,5186
4.0066,5664,-1776,-21280,-8492,-13980,1849
4.0277,5044,-2428,-20648,-4426,-13131,-3934
4.0464,10388,2028,-16004,-1711,-15190,-7121
4.0673,14596,5820,-16084,-3753,-16499,-3628
4.0863,7440,13144,-12220,-8224,-10132,-8132
4.1063,4528,4336,-19120,-15637,-28623,-1400
4.1271,16452,-1560,-25420,-8533,-19163,-12302
4.148,16896,4336,-21512,524,-6007,-16226
4.167,12932,10692,-17292,2074,-10939,-12383
4.1862,11692,20776,-18392,8436,-4021,-18689
4.2068,12676,17800,-13304,4651,-16636,-22468
4.2293,26720,32767,-20168,-6203,-24596,61
4.2469,32767,13916,-28676,-18518,-3280,7758
4.2686,14668,-11260,-23108,-11062,32767,-18285
4.2865,-32768,-2424,-15852,-4337,16835,-25002
4.3069,-23544,-3308,-31656,-2230,-23978,-29404
4.3267,7964,6516,-32768,5558,20278,-32273
4.3466,-16364,12904,-14044,5670,26694,-15826
4.3671,-12100,17112,-10588,-7225,-2113,-2097
4.3865,1040,10392,-23352,-16575,14952,8346
4.4069,-11240,-6228,-24280,-8919,23593,9186
4.4275,-19588,-184,-19256,9172,22415,259
4.4466,-14200,12952,-9128,9088,14227,2171
4.4672,-4924,15160,-6428,-3526,16995,12046
4.4863,-7232,6012,-7320,-9029,21366,15948
4.5068,-8936,-772,-9596,-5489,20368,12957
4.5273,-4112,776,-10748,-1474,20942,12468
4.5469,-2044,2388,-14060,-1054,22964,17040
4.5679,-6084,3004,-15420,1234,24257,16506
4.5861,-2796,7748,-8412,-72,22411,14905
4.6071,2484,9208,-8216,-3893,19772,18144
4.6277,8604,8664,-11012,-7541,22441,19514
4.6471,7752,5108,-15092,-6889,24380,19647
4.6665,2084,6988,-18968,-3940,23053,12110
4.6867,560,10968,-21608,-4176,24547,10547
4.707,336,6556,-12264,-2758,25221,5185
4.7275,2292,10248,-8516,-5399,15415,11121
4.7466,8480,7336,-12140,-7713,12451,10171
4.7663,8876,4132,-11756,-6711,15891,7439
4.786,4196,1804,-8776,-2884,11587,3150
4.807,3312,1804,-8480,98,6196,-2534
4.8277,1600,-916,-8816,2269,-39,-3692
4.8475,-464,-5092,-10652,8398,-5640,-12551
4.8668,-576,-2788,-14080,15006,-6940,-21921
4.8865,-384,4356,-12024,23981,-14563,-32768
4.907,28116,32767,-32768,32767,-32768,-32768
4.9279,32767,32767,-32768,-21222,25440,24831
4.9466,-23844,-32768,-32700,-6739,32767,22515
4.9668,-32768,-31368,-3452,32767,-18666,-28606
4.9863,-18420,5756,-18868,32767,-32768,-32768
5.0064,26264,29656,-29220,16812,-9446,2884
5.0279,-26092,12036,-27320,4282,-8272,14941
5.0467,-15776,11324,-22760,4212,-32768,-10516
5.0666,28012,7012,-32768,-2358,-16429,5063
5.0863,4888,2024,-25268,10256,20811,2954
5.1077,-19832,10620,-10552,11255,-5012,-3519
5.1276,-9072,18336,-13880,-1198,-22111,4722
5.1466,5460,12032,-20796,-9322,-15791,14684
5.1682,4056,5060,-18696,-7871,-11068,14376
5.1869,4460,11444,-15356,-7598,-16132,22500
5.2063,7656,5884,-18392,-9331,-13602,26774
5.2268,2908,2520,-15900,-7142,-11670,26783
5.2469,648,888,-14076,-4993,-15585,21693
5.2671,4204,1900,-14544,-4078,-18242,21194
5.2861,6828,4028,-16836,-1952,-14939,18493
5.3064,4264,3764,-15084,-3156,-12734,16687
5.327,1028,1408,-12520,-4411,-14184,11993
5.3467,4524,3652,-13400,-6684,-16479,10337
5.3674,6076,3268,-15968,-8646,-13652,7410
5.3863,6548,4700,-15068,-8839,-13210,5232
5.4063,10812,3904,-11744,-10857,-17003,4808
5.4284,15564,3856,-15376,-12093,-16462,5937
5.4468,9468,-448,-20428,-12897,-10801,6423
5.4667,2220,-5424,-22952,-7482,-13133,-2514
5.4862,3688,2456,-23176,-623,-3538,-17056
5.5066,-3188,6576,-17244,-3878,-11917,-13973
5.5268,6280,-644,-27396,5180,-11221,-31328
5.5467,13084,7456,-17112,6300,3750,-19141
5.5666,4144,14612,-9860,9721,-175,-21492
5.5864,2056,23584,-15064,-1453,-6239,-11671
5.6063,-268,18476,-17992,-4018,-6085,-17982
5.6275,7840,18012,-17784,-7972,-13315,-16183
5.6465,23524,12404,-16740,-7388,-11006,-21417
5.6672,32767,19236,-21768,-6427,-4777,-14770
5.6863,18920,15312,-19556,-14400,32767,2141
5.7064,-24252,-9072,-16744,-14424,-5956,-15013
5.7272,-5800,-848,-25756,2836,-32768,-25616
5.747,28320,16784,-32768,15528,12943,-32768
5.7672,-36,31464,-24080,-8354,30809,5880
5.7861,-26328,8884,-22304,-20815,-2635,13147
5.8065,-5224,-5468,-32768,-12865,-1752,5186
5.8277,-1956,-2404,-32648,5813,32767,-1775
5.8464,-19888,11092,-12352,14320,31899,-935
5.8668,-21212,17184,-5704,-2547,11860,10753
5.8863,-9120,5876,-14048,-10464,9679,16419
5.9075,-5948,396,-15368,-4239,20660,12941
5.9278,-11996,3836,-9584,-1052,23114,11693
5.9471,-13364,6076,-7232,-1728,17723,11977
5.9693,-8844,4072,-8276,-2188,18923,11854
5.9862,-8420,2932,-8560,-2044,19392,12946
6.0066,-5800,2480,-10052,685,21308,11166
6.0279,-1952,7400,-8944,1308,24331,11455
6.046,-204,10160,-8424,-1411,25422,16014
6.0678,2848,6556,-8092,-3123,25152,19597
6.0858,5288,6848,-10512,-2864,28131,19314
6.1063,2728,7124,-11368,-3726,28659,20474
6.1267,2548,10056,-15592,-4478,23364,21498
6.1461,2804,10576,-16612,-8159,16640,21420
6.1664,7848,7380,-17736,-9088,11089,20522
6.1867,12932,1168,-17516,-5564,16334,13930
6.2066,7556,2412,-9088,-613,16275,7456
6.2272,1588,2912,-6660,-1371,7938,4220
6.246,-1440,-2724,-7016,34,-930,-226
6.2658,-236,-4972,-8720,6289,-9262,-8849
6.2868,5248,-2264,-13588,10134,-10036,-15272
6.3065,-2784,716,-10900,16484,-15736,-21076
6.326,18772,22104,-29980,23755,-32768,-32768
6.3461,32767,32767,-32768,2889,4071,8781
6.3657,15960,-6664,-32768,-9360,32767,18298
6.3872,-32768,-27620,-7456,23846,15842,-28044
6.4064,-32768,-15520,-26752,31504,-32768,-32768
6.4263,-4024,30308,-28676,32767,-23944,-32768
6.4458,-8636,28180,-12564,-9279,-12338,1672
6.4658,-19064,5312,-26456,-11051,-17362,-10020
6.487,-1200,11768,-27596,-2210,-23808,-10720
6.5065,13680,6380,-32768,192,-919,2681
6.5261,-3396,1144,-18420,9425,8965,-3685
6.5462,-8724,16000,-9928,5311,-10890,2048
6.5658,3696,11576,-16744,-5330,-16454,13017
6.5867,4216,9384,-19992,-7866,-12804,20559
6.6063,60,6520,-14076,-7632,-18235,24845
6.627,6016,5664,-16292,-5997,-16371,26089
6.6458,7592,5928,-12588,-3251,-14944,27388
6.6657,6844,4608,-13808,-2254,-14880,27414
6.6868,7036,2760,-16228,30,-14051,25590
6.7061,8864,1356,-14720,2541,-10950,21814
6.7263,7868,4620,-10920,2566,-11075,18091
6.746,7836,8688,-9396,-3739,-11681,17578
6.7658,8452,8608,-13752,-10470,-19536,21020
6.7873,10672,-1076,-16184,-15132,-18050,19608
6.8069,11328,-5696,-13096,-14264,-20207,18162
6.8282,15076,-3656,-14488,-17225,-24654,23104
6.8465,12068,-6768,-19468,-15019,-19579,19404
6.8695,4196,-3352,-17472,-11168,-16309,11570
6.8863,2792,-2792,-17676,-9118,-19142,7528
6.9063,6592,-2064,-17544,-10422,-12965,-2005
6.9271,2224,1896,-7752,-3218,-10635,-19562
6.947,4572,30244,-12576,-8490,-10403,-18338
6.9673,6876,21252,-24076,-22998,-25886,-4532
