time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.0082,14312,8724,-26688,-1192,3819,-8152
0.0285,792,-456,-23880,210,10435,-4469
0.0502,-11136,-976,-23296,3033,6837,-7150
0.0663,-11000,9304,-18980,-73,-642,1477
0.0872,-5696,7556,-17776,-7889,3886,10410
0.1067,-6428,1836,-18780,-9008,7481,11115
0.1271,-6952,3388,-18232,-8619,12882,12485
0.1461,-9592,4832,-16696,-9502,10870,15138
0.1673,-4080,3136,-17384,-8086,13470,15736
0.1869,-2568,2324,-15232,-6374,22600,13513
0.2066,-7364,1940,-12132,-3392,26567,11062
0.2276,-7856,3936,-10688,-3420,25005,11461
0.2461,-5284,5568,-12832,-6381,25345,14874
0.2665,-4072,5124,-12112,-8127,27053,17122
0.2862,-2848,7292,-10128,-12428,27776,20989
0.3067,-1216,10016,-11168,-15656,29223,21791
0.3277,-520,14928,-11908,-20863,29003,22693
0.3466,-612,18468,-14636,-27449,23765,27473
0.3675,5380,10868,-20480,-28737,18185,30954
0.3867,7296,-1600,-22816,-21320,24599,27519
0.4069,68,-3908,-17556,-4789,25991,13480
0.4273,3964,7212,-10380,1092,21701,7658
0.4467,3568,13524,-7016,-5321,13533,13826
0.4677,3552,1248,-9632,-7745,5324,10756
0.4865,4056,-4920,-10592,-236,3609,1219
0.5068,2204,-3580,-8896,5249,178,-7430
0.5276,1252,-668,-8388,8950,-315,-13832
0.5463,-3824,24,-8628,10181,-2556,-16689
0.5668,-6996,-3852,-13556,13513,-7555,-20429
0.586,3956,-2100,-10964,28463,-15349,-32768
0.6063,32767,32767,-32768,32767,-32768,-32768
0.6275,32767,32767,-32768,-26040,32767,32767
0.6474,-32768,-32768,-22192,-1606,32767,722
0.6661,-32768,-27800,-20380,32767,-26845,-32768
0.6862,-9040,27580,-5608,32767,-21871,-32768
0.7064,9892,21508,-15332,9432,-5347,5291
0.7266,-20024,11640,-32768,-6945,-32768,22167
0.7468,9112,-3004,-32768,13484,-26758,-16883
0.7663,20048,12060,-24888,10574,5466,7521
0.7866,-8144,4804,-11836,13116,8750,8749
0.8068,-15968,10764,-9888,9498,-19241,6800
0.8268,52,14544,-20056,-136,-23509,15166
0.8467,3256,3780,-22780,-2022,-14030,17543
0.8671,1804,2224,-19196,3101,-12570,13746
0.8863,6056,8028,-16360,2189,-10909,16827
0.9068,3628,9108,-13008,-2604,-11673,22446
0.9273,1752,5864,-13052,-6530,-14954,22915
0.9467,4496,5840,-15604,-7688,-15814,21701
0.967,7116,3980,-15776,-10292,-11464,22242
0.9864,3548,4272,-15920,-7083,-12710,15823
1.0063,4628,4564,-17368,-7315,-12698,16179
1.027,864,1312,-18056,-4300,-12928,10156
1.0469,5296,4224,-16688,-2107,-13823,7503
1.0663,5776,4716,-14084,-6109,-12005,7562
1.0861,4920,2208,-14504,-6117,-14810,5850
1.1063,6292,2648,-15984,-6909,-12742,5005
1.1277,2708,992,-16384,-5187,-12943,-110
1.1465,2952,3388,-17228,-3634,-12109,-3645
1.1665,2056,3668,-20212,-2906,-11080,-6141
1.1865,3720,4320,-18636,-1415,-8327,-12798
1.2068,2576,5796,-18692,-964,-9616,-15192
1.2264,5444,7596,-21436,-1707,-10760,-16105
1.2465,6368,7016,-23800,472,-2905,-20265
1.2677,-872,8396,-22656,1356,-243,-25054
1.286,-3636,14016,-21276,-174,-9327,-17720
1.3068,232,6588,-20428,-1909,-2504,-25768
1.3272,6036,12656,-16520,-514,-9195,-26535
