time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.009,-12520,7284,-4932,508,594,-54
0.117,-12924,8304,-3992,-971,1132,-1592
0.223,-13728,8236,-4368,-2681,18,-3088
0.331,-13324,5680,-5536,-1372,-3661,-5390
0.438,-13836,5484,-5604,3005,-3520,-6888
0.546,-14120,3268,-1908,4256,-1147,-7246
0.652,-16452,3300,-2056,2848,362,-1624
0.758,-19976,2924,-1684,-1515,1217,-4580
0.866,-24688,1484,-6584,-4170,-3755,-12741
0.973,-12836,17292,-10072,-8117,-15375,-11665
1.08,-2488,1636,-3200,4364,4395,6397
1.187,-2580,1276,-11332,-597,17,25622
1.293,-15320,13164,3288,8413,18662,32767
1.4,-21212,12144,-8368,8823,25658,32630
1.507,-20276,8752,-6888,4282,18226,19657
1.613,-17396,2528,-6056,-2935,3677,4046
1.719,-22496,21552,-14192,5617,-26239,-32768
1.825,-13692,-6924,-4620,16818,10302,-28150
1.933,-11016,-5628,-18508,-9310,-4972,6371
2.04,-14908,12112,5592,-954,105,-1034
2.147,-13668,5120,-5668,2479,-703,-3865
2.254,-13900,7592,-3644,-4392,-7225,-3366
2.361,-16892,3624,-3396,-1294,-766,-9191
2.469,-19392,6196,-5580,-3495,-5632,-8298
2.576,-24244,15648,-10592,-16885,-22532,-26759
2.682,-14600,12064,1608,1126,5198,-32768
2.788,-13512,1940,2160,-8445,-3391,-1865
2.895,-13584,-3720,-10612,11451,6112,32767
3.002,-25432,-7928,-18376,9933,32767,6356
3.108,-20152,6888,-6512,526,15303,22653
3.215,-16988,9160,-4264,-3547,10460,19523
3.321,-20952,-2568,-6200,38,4779,78
3.429,2012,32767,-14388,-8424,-32036,15004
3.536,-13452,22668,4888,12033,-9508,-29467
3.643,-14276,-544,-6880,9829,10412,-16466
3.75,-12472,7208,-2484,1777,-4154,7091
3.857,-18424,1152,-1076,-1893,-32768,-22045
3.964,-22280,-268,-2660,-4662,-8410,-11693
4.072,-21716,6048,-5552,961,-5353,-6072
4.179,-23832,21028,-15852,-11921,-5870,-32768
4.285,-8032,6020,-14732,6547,9419,-32768
4.391,-1088,16316,4696,13379,-7986,5840
4.498,-1384,11264,-18008,-3805,18587,29837
4.605,-25340,4172,-6940,15345,32767,-3930
4.712,-26088,7356,-4368,10892,14678,32767
4.818,-18640,1732,-984,12556,15828,8240
4.925,-15560,3956,-9380,-15191,-631,-13635
5.032,-7652,-16560,-25224,-5386,-32521,-16307
5.139,-6440,8780,-14760,-20360,-5033,-9368
5.246,-13452,12060,936,3957,8927,-9544
5.352,-14096,5720,-6720,-6585,2209,-2513
5.459,-11292,8644,-22452,14935,-30048,-26659
5.566,-14268,3792,-10116,-3110,-10806,-11433
5.672,-17212,8740,-1936,-2793,-4641,-6439
5.778,-18696,11864,-4704,-5660,-6733,-9359
5.884,-15644,12880,-14476,-15858,-23526,-3883
5.99,540,21028,3180,14474,-19301,-10784
6.098,-1880,2188,-7380,-13435,-4836,30929
6.206,-27428,1992,-9892,17346,32767,32767
6.313,-20704,13268,-10024,18504,32767,29486
6.419,-22572,8284,6052,7696,4348,3261
6.526,-17112,1656,-4504,-14277,7705,-7532
6.634,-27744,8272,-20684,232,-27100,-32768
6.741,-10676,328,10344,8786,-14983,-32490
6.849,-7196,624,-9252,1514,1792,3073
6.955,-11604,12140,-3848,-2775,7836,-1600
7.061,-13004,7652,-6664,-4068,-6038,-2918
7.169,-1740,21272,-32768,1198,-8547,-17195
7.276,-11936,8564,-10684,471,-3063,-13544
7.383,-18104,7400,-3208,-1502,-4492,-9519
7.491,-25268,10964,-8264,-10738,-10315,-15376
7.598,-20028,6756,-12484,-9813,-13707,-16286
7.705,-1780,-3892,12152,9351,16891,-9012
7.812,3244,-3532,-19860,611,20889,21042
7.919,-14236,11900,-23172,29795,32511,20398
8.025,-7452,-3460,-32768,-32768,32767,-11343
8.133,-17036,7800,-2956,-15331,12993,5983
8.24,-18568,3404,-4076,-14026,-9655,-11400
8.346,-12172,10176,-12592,-3179,-18384,20322
8.452,-13864,32767,-6532,-5593,24743,-18282
8.559,-20872,6460,-1744,3280,16681,-9640
8.668,-16780,4828,-2852,-3096,-339,6429
8.774,-16904,-716,-2500,-1966,-30061,-32768
8.881,-16768,4692,-5424,-942,-8191,-12315
8.988,-17712,5844,-2004,-2320,-2620,-6429
9.095,-19208,8684,-7452,-3387,-10740,-11260
9.202,-16936,14580,-14232,-16514,-21280,-14187
9.309,1148,18344,3832,11507,-14355,-3426
9.416,-1528,-1192,-7464,-12972,-347,32767
9.523,-32768,-9420,-4724,20389,32767,24862
9.629,-17832,-26716,-32768,32767,-1345,32767
9.737,-17472,14548,2432,-13694,7772,9643
9.845,-22280,-1388,-6832,-16717,6948,-9346
9.951,604,32767,-29712,14132,-26613,-21797
10.057,-12288,8092,-4380,12146,14145,-32768
10.165,-12572,1528,-16928,-3065,18462,6443
10.273,-8936,13480,-4344,-1320,573,6611
10.38,-8764,4848,-10496,-1796,-1854,-10262
10.486,-17184,6648,-404,-6765,1475,9425
10.593,-16612,8320,-2716,1930,1962,-8877
10.704,-18320,5608,-7692,-4076,-9795,-11006
