time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.008,-12152,8696,-4456,468,-287,-5232
0.116,-13984,4832,-4940,1662,-1723,-3901
0.224,-13628,7376,-3964,825,-3507,-4231
0.331,-14144,3704,-3236,2161,-1144,-5510
0.437,-14932,5156,-4168,1461,-1338,-2737
0.544,-16576,2852,-5196,-1285,-385,-4175
0.651,-24576,10656,-9048,-3884,-14698,-10677
0.758,-14164,9112,-13780,-7828,-7232,-19776
0.865,-13160,2740,6828,18360,32111,-13919
0.971,-7684,-2136,-8876,6186,14778,23227
1.078,-25652,3768,-13208,9623,32767,24373
1.186,-30440,11136,-2020,7890,11717,28917
1.293,-20552,3036,-3072,-5505,14626,9535
1.4,-24556,-528,-3444,-1544,-12644,-30208
1.506,-23556,6084,1776,-12104,-18067,11137
1.614,-10880,21056,-592,2129,19364,-23437
1.721,-19080,6880,-104,3099,16211,-10301
1.829,-16168,3712,-5312,-176,5484,-5013
1.936,-15060,9832,-2600,-2256,-10805,-2318
2.042,-15244,6520,-4676,-790,-10755,-3307
2.15,-23340,9300,2268,-981,-2163,-17321
2.258,-32316,15584,-11212,-11914,-15836,-26855
2.365,-26496,3108,-184,-4760,8193,-32768
2.471,-13808,5216,11028,-382,1721,-221
2.578,-2768,21308,-14300,10642,30534,32767
2.686,-24224,12040,-11788,29882,32767,23254
2.793,-30792,-408,-1852,3130,32410,15912
2.901,-32608,-4084,-5528,-4361,-20757,-14126
3.008,-32768,-1052,3424,-22772,-32768,-32768
3.114,-11064,12132,-4860,5965,-24197,21582
3.223,-9436,11940,-5308,-2186,-333,912
3.331,-11700,3560,-8272,-4741,15487,-11743
3.437,-18616,11084,2496,1887,-1949,-8975
3.544,-16492,5624,-5752,892,-12052,-7875
3.651,-24804,13924,-6648,-10555,-18705,-10618
3.758,-19136,7152,-5064,-7770,-7501,-17247
3.865,-2496,-2380,2300,5849,21487,1707
3.972,-1088,5428,-16548,3764,17968,32767
4.079,-20144,17816,3456,25996,902,32767
4.187,-29392,14936,-2108,9193,32767,17038
4.294,-14888,624,-5752,-13118,13830,2719
4.401,-19660,11176,-17128,-2146,-20983,-29543
4.507,-6792,-12652,-11920,3750,-13637,-23067
4.614,-8480,6908,-7056,6086,-7593,-1303
4.724,-12880,9704,-2892,564,2542,-4758
4.831,-16760,3824,-4720,-5787,1880,-2666
4.937,-13124,7380,-2032,3208,-19263,-170
5.043,-16068,7812,-5420,865,-2298,-15810
5.151,-25564,13524,-11488,-9229,-13459,-15373
5.258,-19404,-72,-8816,-5654,-6038,-25227
5.365,-11956,2896,15804,4852,21450,3136
5.47,-8560,632,-11172,3622,23929,32767
5.577,-21884,5436,-5132,15334,13441,32767
5.686,-27392,12612,-2400,5474,17803,32680
5.794,-21076,-2452,-4596,-11649,23959,9123
5.9,-3996,32767,-32768,6289,-32768,-32768
6.007,-15600,22624,-11000,12996,-29092,-26115
6.114,-15000,2292,-1856,4182,4886,-2029
6.221,-13724,7640,-3024,-5735,5407,6290
6.33,1504,22184,-19464,-4355,23947,-9901
6.437,-12576,6452,-11156,-4899,-5506,-12183
6.543,-22552,12196,-7480,-3931,-10292,-12638
6.652,-23572,24228,-19484,-17598,-26351,-19436
6.759,-7944,-18592,-1288,9637,6892,3782
6.866,4168,5064,-4352,5536,16212,27089
6.972,-17252,14916,-26900,20066,14669,32767
7.079,-24908,26020,1180,-4860,21014,32767
7.188,-22496,6004,-1284,8802,9117,23644
7.294,-11664,32767,-25736,27989,-32768,-32768
7.401,-8496,13128,-23660,-3612,-10550,-9211
7.508,-12716,5596,-6196,11505,10297,-3226
7.615,-9188,9852,-6980,-5892,583,4688
7.722,-13156,5436,-7056,-1669,5615,-2626
7.829,-14044,10684,-2596,-2595,-8221,-8312
7.935,-17532,8128,-9148,-2890,-7013,-15014
8.041,-24584,19848,-17384,-21733,-29981,-27685
8.148,-11992,7036,-5388,2735,-92,-32768
8.256,308,12176,-1176,-11162,1996,17078
8.363,-21372,10356,-3740,5512,30717,32767
8.47,-29920,10744,964,23655,26217,28957
8.576,-19100,8488,-1740,4060,16475,228
8.684,-26260,-1036,-5880,38,-8094,-13391
8.793,-15296,-17196,-13340,-20518,-32768,-12876
8.9,-5492,14576,-3448,-9161,-23180,7172
9.007,-14520,9884,-1524,1913,6657,-11011
9.115,-13256,3904,-5324,-9254,2269,1026
9.221,-17028,10036,56,-1294,-5288,-5595
9.328,-14060,7868,-7888,-552,-6349,-12700
9.434,-20344,14320,-9200,-2266,-14490,-6135
9.54,-20424,17636,-14556,-15025,-17600,-17880
9.648,-3832,-4360,3396,14242,27682,-2722
9.756,4780,-4448,-14604,1422,21742,30622
9.862,-20196,11692,3276,10085,18961,27911
9.969,-32768,10080,-7324,-11186,25296,32767
10.075,-32768,-9680,-3708,-25821,15101,16604
10.185,-30976,-3888,-7984,-21268,20990,32767
