time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.008,-11604,8840,-6204,-169,57,139
0.115,-11828,8672,-5704,-300,375,-446
0.222,-11780,8452,-6316,-404,415,24
0.33,-11776,8792,-5908,-552,500,-200
0.437,-11628,8800,-6104,-183,100,-285
0.544,-11852,8504,-6076,193,17,-627
0.65,-11720,8400,-6052,178,-454,-168
0.758,-11940,8768,-5988,-97,-240,-339
0.866,-11856,8736,-5716,-217,225,-479
0.974,-11808,8572,-6376,-301,432,-263
1.08,-11860,8492,-6076,-247,124,-586
1.187,-11824,8512,-6088,-342,90,-345
1.296,-11728,8516,-5896,-239,-48,-121
1.404,-11792,8708,-6000,-651,-289,-435
1.51,-11796,8500,-5648,-321,-713,-847
1.616,-11320,9152,-6072,-552,-1446,-1960
1.724,-14336,7844,-6964,2869,-3286,-813
1.83,-12392,9660,-7320,1336,3275,-719
1.938,-12392,9656,-3900,-776,-1133,-4862
2.045,-14356,5928,-3164,-428,1292,-6849
2.151,-13984,6364,-4620,-2449,-376,-3182
2.26,-15376,7660,-3964,-3561,418,-4327
2.367,-15664,8460,-6100,-3339,-5126,-8422
2.474,-22904,13436,-7904,-9064,-9824,-22130
2.58,-13140,4776,-5516,1593,-15272,-17504
2.687,-4,15708,5100,5324,-15035,12011
2.794,-5668,3508,-17396,17960,32767,18865
2.901,-32768,19548,8544,-102,32767,24840
3.008,-32768,-29184,13568,17175,22271,14085
3.114,4688,32767,-14820,207,15540,32767
3.221,-5592,9040,-32768,-28976,-32768,24069
3.331,-7904,13208,-376,10044,19838,-32768
3.439,-15856,1128,-6212,881,4019,-3570
3.546,-16864,6468,-5472,272,6718,-10129
3.652,-20236,13284,-2448,-1139,-17278,-12098
3.761,-24732,10116,-23896,-20913,-21228,-32768
3.868,9548,-344,-7328,-633,-9956,9307
3.975,3376,3004,-15556,971,14835,23032
4.082,-15968,16376,-7568,26126,32767,32767
4.189,-32768,13856,-9768,-12676,31913,32767
4.298,-31576,-7272,-2344,4456,-7835,-12463
4.406,-19656,26660,-7356,-13030,-32768,-20364
4.512,-17364,-4964,-12872,4892,9704,-7266
4.619,-12812,11044,-2044,-4585,-5556,5819
4.726,-11576,11524,-8456,-1746,4734,-6691
4.834,-19740,8260,-5920,3854,-5927,-17044
4.941,-27948,24352,-17448,-15002,-28366,-26435
5.047,904,11572,1792,-3457,-21112,-21359
5.155,720,2920,-8960,-5125,10407,27487
5.261,-16404,13772,-13972,28084,32767,32767
5.368,-32768,19984,-11140,-5576,32767,32767
5.474,-32768,32767,-25760,2200,5546,-17130
5.581,-32768,10820,12128,-13234,-32768,-6571
5.688,-2396,-17212,-32768,-10835,-3066,4788
5.796,-6792,20468,-2692,-5237,-10976,6333
5.903,-10220,6828,-10072,300,3372,-8878
6.009,-21140,9940,-6136,2666,-8806,-9885
6.116,-30056,28708,-19956,-10015,-32768,-17042
