time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.008,-14408,6916,-6648,-483,-2834,-7335
0.114,-16664,8236,-5520,43,-8072,-5828
0.221,-22664,17328,-4692,-3549,-16461,-14228
0.329,-8516,1936,-12244,7415,-10078,-21257
0.438,-380,10580,-2620,5014,-19256,11759
0.545,1404,19900,-27472,18825,32767,28771
0.652,-32768,20808,-5472,-5792,32767,32767
0.759,-19256,-2360,-32396,-8969,32767,21669
0.867,-25216,2984,3188,7967,-27927,-32768
0.974,-1728,17296,-22732,-27983,-32768,27196
1.081,-9820,20340,2940,2327,1309,-18931
1.188,-13532,5572,-9340,-3815,-2679,-2705
1.297,-17252,5904,-6968,93,2957,-8602
1.404,-26544,14940,-11140,-1108,-25154,-26098
1.511,-11144,12004,-2128,6508,-21739,-22631
1.617,3692,11956,-688,-4231,-3680,19434
1.724,-10272,3664,-19956,32767,32767,21881
1.831,-32768,24148,14960,-4487,32767,20528
1.939,-32768,10336,-7948,6512,24553,32767
2.045,-32768,19328,-7812,-4893,-32768,-32768
2.152,-5212,14964,-17968,-25500,-30570,16699
2.258,-14168,25784,15388,11071,-29364,10879
2.365,-16276,6556,-5796,-842,5445,-8837
2.471,-15548,10924,-10748,-1578,-1179,-121
2.577,-27188,25424,-24596,-1204,-32768,-9671
2.683,9032,13512,-6744,-2065,-32768,4882
2.79,-2796,-4544,-4924,9605,14075,20657
2.897,-30048,26592,-9720,28815,32767,32767
3.004,-32768,1924,-11776,-15293,32767,32767
3.111,4648,32767,-32768,28509,-32768,-32768
3.217,-32768,28968,540,-29347,-32768,-32768
3.324,-22092,-9196,-23032,24881,32767,-32768
3.431,-9852,18412,-6492,-25256,-4905,5751
3.538,-19356,13600,-5668,2960,2419,-31576
3.645,-26164,27444,-22224,1038,-32768,-26368
3.751,10288,8076,9824,-5652,-14428,3928
3.858,0,-9284,-26648,8939,21834,15482
3.964,-32768,19596,-25048,15252,32767,7567
4.071,-32768,-11836,-12032,32767,32767,32767
4.177,-32768,8828,2152,15548,-31744,-23823
4.283,-20028,24284,-21116,-32768,-32768,13396
4.39,-19028,24308,412,27375,16658,-27511
4.497,-14032,3596,-12048,-12364,-9339,6288
4.603,-15040,21140,-5760,1697,5286,-12229
4.711,-24284,24660,-27912,-1398,-32768,-28081
4.817,8712,14712,-3896,-8659,-32768,16785
4.924,1680,-1824,-13216,-2746,16082,32767
5.033,-16824,23880,-26192,27280,32767,32767
5.141,-32768,3444,-6804,-24703,-25576,6248
5.247,-32768,32767,-32768,32767,-32768,-32768
5.354,-23924,27391,-1164,-32768,-32768,-1599
5.462,-20380,-7712,-18600,19081,32767,-32500
5.571,-9808,25400,-24,-6252,-30669,32767
5.677,-15564,10436,-5464,8703,6470,-30093
5.783,-32288,15440,-21472,-152,-29400,-29180
5.89,-3440,18972,5580,-3295,-26957,-19122
5.997,4456,-1400,-11396,-22281,26206,20293
6.103,-11596,17132,-10252,28837,32767,32767
6.209,-32768,15672,10424,-5955,19596,32767
6.315,-24676,-15448,-7456,27173,-32768,-32768
6.423,-32768,32767,13480,-1739,-32768,-23585
6.53,-13284,1884,-32768,-32768,-32768,32767
6.636,-4512,30340,4272,3922,-8897,-17350
6.742,-13288,4072,-13588,-568,3159,-12736
6.848,-32768,6824,-9640,3269,-10280,-10309
6.955,-20288,19620,668,3907,-20863,-31479
7.061,10372,7576,-13572,-11999,-2465,13760
7.169,3844,15548,-28600,32767,32767,25916
7.276,-32768,25364,3620,-2647,32767,26998
7.383,-32768,-32768,972,32767,-29354,-14610
7.49,-32768,12532,22620,-2775,-32768,2831
7.598,-1452,28224,-18288,-32768,-32768,32767
7.705,-6004,26540,-2252,12148,-4221,-32195
7.811,-13712,3668,-8748,-854,-2337,-6575
7.918,-25868,5776,-6716,5803,-729,-5945
8.025,-18952,28012,-15012,-3048,-32709,-23830
8.132,12636,10576,-11744,-10006,-17881,2439
8.24,-1784,12572,-27880,32767,-2207,32767
8.347,-32768,18640,-29436,9584,32767,-2186
8.453,-32768,-32604,-32768,32767,32767,32767
8.562,-32768,14124,-10464,12482,-32768,-32768
8.669,-9360,22040,-17316,-32768,-32768,-8330
8.775,-22648,22024,16700,21651,-8158,-32768
8.882,-15332,-3912,-13080,-658,8773,-14027
8.989,-13304,15788,-11424,845,-1504,-2336
9.097,-24568,28680,-18084,907,-32060,-31422
9.204,11524,-7500,-788,-16638,-18732,-2143
9.31,-96,-13088,-18328,10821,14794,18988
9.417,-25180,22616,-9196,18288,32767,32767
9.524,-32768,5608,4956,-32768,32767,32767
9.631,22424,32767,-32768,10952,-1908,31860
9.738,-32768,32652,-21880,-32768,-32768,-25547
9.844,-12372,-3432,-17036,8974,29242,-25513
9.951,-10224,13140,-1668,-12150,-11868,17198
10.059,-13920,4980,-7140,8914,10400,-25250
10.167,-24876,10576,-9344,1658,-13266,-13146
10.274,-5372,8112,2220,-1681,1119,-22347
10.38,-2732,13372,-3960,-32768,-12653,-709
10.486,-16168,-2508,-17076,-12022,12747,32767
10.595,-23880,-7020,-8960,-21570,23688,17776
