time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
13.4,-2344,11160,596,-9660,-4966,5598
13.506,-17052,4372,-10000,13699,23904,26738
13.613,-28528,7472,-32768,1253,27051,32767
13.72,-22672,2200,-5408,11256,26676,7607
13.827,-7892,30720,-10188,3684,-27851,-32768
13.933,-8472,-6688,-32768,-6997,-31167,-14845
14.04,-7372,18424,-3100,-5720,-15606,8347
14.147,-9948,11168,-6880,2702,2410,-3155
14.254,-12528,8660,-6620,2964,1248,-7972
14.36,-12056,9652,-6420,-308,-5829,-8786
14.466,-11444,6556,-14744,-3206,-2464,-7592
14.572,-19836,13604,-9864,-5094,-10860,-12101
14.678,-7752,4228,-3716,-3108,-5651,-15524
14.788,-3200,7348,2252,-10431,-2959,3143
14.896,-8792,-8272,-27224,31288,20285,12950
15.003,-21228,17128,-8632,24658,15817,25734
15.11,-28744,-15292,-10372,32767,3181,-32768
15.218,-9976,16528,-6028,-19531,-17743,-32768
15.325,-964,-5168,-32768,-21622,-21162,8442
15.432,-1536,32140,8932,20211,-26874,32767
15.539,-10268,16288,-5780,19440,17421,-18694
15.645,-11892,6824,-9408,1002,4234,7438
15.753,-12060,12572,-3652,-4780,-5845,-1693
15.86,-10652,3224,-14112,-4781,2014,-6458
15.966,-10644,9528,-6992,-1083,-893,1156
16.072,-11164,8716,-6940,979,1827,-375
16.179,-11836,7556,-7724,85,1430,-779
16.286,-11076,8068,-8388,268,-564,256
16.394,-10732,8628,-6760,590,390,-309
16.5,-10976,8352,-8984,-1046,1353,-549
16.606,-10592,8532,-8952,-341,-80,-630
16.714,-10716,8620,-8236,189,-505,-678
16.821,-10532,8320,-8356,-642,985,-1212
16.93,-11032,8404,-8440,-1386,535,-1242
17.036,-10604,7596,-9336,-1284,-1362,-2211
17.143,-10800,7412,-8332,889,-4091,-1638
17.25,-11432,7128,-7016,1267,-3353,-13
17.358,-11588,8200,-7632,493,-1126,809
17.465,-11880,8836,-6740,1497,-1561,-1495
17.571,-12196,6112,-8952,3043,-1790,-174
17.678,-13028,7828,-7280,4972,-957,-296
17.786,-13124,9100,-7800,4447,-2948,-7544
17.894,-13260,9180,-13544,5789,-7414,-10189
18.001,-5928,7272,-13748,30344,-21747,-7218
18.108,-10748,4356,-7912,24007,-6683,8623
18.215,-15652,9980,-6176,32767,8902,9145
18.323,-16600,12732,824,32439,14238,14321
18.43,-12448,7144,-14124,-7813,8331,18121
18.537,-14928,14748,-588,-18046,-12466,-3531
18.644,-1676,-28208,-32768,32767,-2050,8954
18.751,-7820,24496,4468,634,-12642,7520
18.858,-13800,1980,-12068,7684,7807,-9043
18.965,-12812,8836,-5076,917,-1823,2533
19.072,-12324,7196,-7176,3083,1653,-2328
19.179,-12080,9172,-8528,-1589,511,-6679
19.286,-12144,9056,-8296,6194,3019,-11117
19.394,-8300,10252,-4272,16466,-3680,6137
19.501,-9452,6380,-10144,1670,-7904,15035
19.607,-15384,14656,212,3954,175,23669
