time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.008,-13288,7836,-4812,-3829,1218,-62
0.117,-11960,8652,-6232,-4966,-926,-542
0.224,-11792,7952,-5088,-427,-781,-951
0.331,-12644,8452,-4216,210,-1,-1585
0.438,-13516,8364,-3392,588,-2955,-1887
0.545,-13264,8312,-3484,16,-1389,-2704
0.653,-14048,7440,-5404,227,-1750,-6691
0.76,-14916,7072,-4564,1080,-1620,-7446
0.866,-18616,8068,-6756,-4940,-6992,-11982
0.972,-17220,7224,-5308,-1721,-6288,-19722
1.079,-9476,-576,3360,7510,6149,1973
1.186,-7856,884,-7552,1233,9210,13586
1.292,-16620,12356,-2884,10475,20305,32767
1.399,-26132,10184,-7860,6615,29843,25422
1.506,-23300,-2020,-10044,15052,14201,9459
1.613,-12280,20876,3188,-3148,-17918,-2722
1.721,1100,14712,-21424,-23153,-32768,4175
1.829,-10440,21884,3208,7462,-7030,-9801
1.935,-15180,-8444,-18440,-3289,-6693,-3684
2.042,-18320,12516,-3704,-1174,13798,380
2.149,-16048,5632,-4248,-2248,-4375,-9665
2.256,-14284,5892,-5864,-963,-9078,-1973
2.364,-16520,7196,-5716,2364,-4863,-12968
2.47,-18256,13228,-7116,-8813,-17224,-9786
2.577,-7320,7020,-2792,-182,-5584,-16518
2.684,-4192,12512,-944,-323,-883,1816
2.791,-9940,304,-11036,14070,15500,16985
2.898,-19576,11128,-6272,14576,26402,22174
3.005,-18940,7984,-1148,6003,24857,17996
3.111,-19312,3756,-2708,-1864,11888,-1883
3.219,-5892,26680,-12300,-18801,-27524,-13461
3.326,-12328,2008,-16324,12156,15944,-23094
3.433,-8888,8820,-12012,-8295,-13224,25457
3.54,-8780,16536,-4492,3464,9742,-3783
3.647,-13712,7172,-4864,189,1624,-7888
3.755,-12276,7776,-7220,-4368,-5526,4063
3.863,-10700,8652,-10408,2702,-11719,4246
3.97,-15132,10476,-4064,3202,-1750,-11870
4.076,-28416,11632,-10740,-6487,-21179,-10535
4.185,-11988,6088,1036,3732,-10061,-17417
4.292,-2944,15596,3268,1936,-5196,3751
4.4,-1388,6844,-19636,15993,6687,32767
4.506,-27216,3464,-24616,10502,32767,10554
4.613,-23740,140,-4332,3021,13324,17392
