time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.007,-13932,6024,-7536,1151,-1817,-9600
0.115,-11600,6560,-564,-4920,-1253,-2176
0.222,-9608,5856,-8140,-8677,-1343,8884
0.33,-11592,7284,-9808,4730,9906,12124
0.437,-13940,7596,-8016,5120,9621,15178
0.544,-13756,6620,-4632,-3089,9986,6841
0.651,-16416,3268,-5724,-243,-3782,-52
0.757,-5920,9600,-3328,-3726,850,9023
0.865,-9220,5640,-9704,461,5497,-7200
0.971,-15128,6812,-4664,-1828,-3105,1693
1.078,-13384,12164,-2428,-738,354,-7260
1.187,-11680,8416,-6696,-2725,-6241,-3638
1.294,-9080,11492,-3916,4537,-15153,9955
1.401,-11524,10144,-5880,784,3028,-7209
1.508,-14772,6792,-7424,2731,-2682,-10818
1.615,-23772,9424,-6532,-5920,-13453,-9573
1.722,-18044,12468,-9144,-2217,-11341,-20320
1.829,-5928,820,5356,8379,753,2237
1.936,-6816,-2076,-6092,4195,11252,14923
2.043,-24276,8256,-5844,2883,32767,15175
2.15,-26400,4072,-9036,-6793,21746,26392
2.257,-22144,-784,-5648,101,8607,7351
2.364,-14712,17444,-7548,-4959,-23098,-32768
2.471,-13288,9432,-3864,7741,-1320,-19687
2.578,-11092,-284,-13928,-1167,-1698,2424
2.686,-10080,13412,-4244,-3833,-2475,-1902
2.793,-12868,10016,-4652,10,-2969,-8363
2.9,-12740,8436,-7428,419,-8663,-3921
3.007,-14908,11212,-3876,2488,-498,-18044
3.113,-23628,5744,-14344,-10815,-13160,-10283
3.221,-17140,13704,-2672,-7840,-7724,-19899
3.328,-10672,6624,14392,10236,9465,-7688
3.435,-4392,3456,-12232,9351,18653,24826
3.542,-32672,15772,-4380,5879,32767,32767
3.649,-31216,-6860,-3900,17000,10711,27058
3.758,-19660,6724,-5976,13292,-20749,-32768
3.865,-8040,6532,-23332,-23327,-32768,15286
3.972,-8744,11344,-7176,2062,-10911,572
4.079,-11240,12656,-4348,-3107,-5480,38
4.186,-16820,6316,-4316,3683,5622,-6579
4.293,-14180,9412,-5716,-5173,-12633,-4801
4.401,-14780,9508,-4452,4197,-2407,-18597
4.507,-23312,8100,-14828,-12565,-15415,-13936
4.614,-12932,12684,952,-5564,-9606,-19966
4.723,-11208,3180,7784,6074,-9477,-6722
4.83,-3788,3584,-14760,8955,17191,25937
4.937,-24300,16664,-10336,11374,32767,27793
5.044,-31740,-6084,-4788,-174,17066,20726
5.151,19032,32767,-24508,32767,-32768,-4818
5.258,-3972,21104,-6116,-28267,-32768,8104
5.366,-8272,9888,-9856,13688,9991,-17672
5.472,-8884,2724,-14556,-4929,2893,-2733
5.579,-13564,8448,-4196,1547,1800,-6449
5.687,-15084,7384,-4564,4166,-8811,-7741
5.794,-18536,19084,1424,7593,-23978,19241
5.901,-24644,13788,-12524,-12772,-14337,-12093
6.008,-18300,11040,-320,448,-9730,-23760
6.115,-5364,11280,5596,9424,-6112,-8665
6.222,4404,18648,-27436,19597,17913,32767
6.329,-32768,20864,-940,-973,32767,32767
6.436,-32768,-18280,-15904,3142,15139,7973
6.543,9600,32767,-32276,8458,-18108,-24791
6.65,-4308,11748,-18416,-2453,-12799,-13932
6.757,-13360,1120,-10908,4611,13830,-13061
6.866,-11052,6404,-8052,-2555,-830,4599
6.972,-14016,9772,-5688,627,2517,-10942
7.079,-17440,8648,-7064,1293,-18709,-11712
7.188,-29360,19772,-15720,-11998,-22794,-21512
7.294,2788,8560,-3760,-5354,-13436,-13259
7.402,288,8460,-5736,-3357,-1501,15308
7.509,-7744,15884,-18676,16210,21505,32767
7.615,-32768,16620,-1064,-5,32767,3347
7.723,-26968,23624,13252,32767,-2615,32767
7.83,-26668,2612,-3624,7530,-31455,-26005
7.937,-13168,-112,-14252,-3967,4327,2982
8.044,-11900,13472,2872,3578,8508,-12993
8.151,-13048,4576,-8780,-37,2683,590
8.259,-15088,10632,-4456,-1953,5771,-6763
8.366,-14952,10052,-6532,1919,-11954,-10647
8.472,-27912,19432,-15840,-18327,-21777,-20644
8.579,-10952,11008,-52,6816,-13855,-30750
8.688,1388,10028,-3956,30,-8752,19316
8.796,-16660,13456,-10924,13582,32767,29439
8.903,-32768,9060,-20692,-14207,32767,3541
9.01,-32592,-2260,-18572,28921,15473,19914
9.117,-28648,2796,1264,-8849,-32768,-25431
9.223,-17320,-1032,-15264,-13104,-10938,8791
9.331,-15268,16020,9084,5853,2128,-9414
9.438,-12856,4948,-10704,-1988,1503,-3276
9.544,-20992,6156,-1132,4787,-4804,-10266
9.652,-18872,6428,-13784,-10715,-21737,-4971
9.76,-21288,23856,-20776,-21078,-13370,-32768
9.866,6496,-4128,-6452,3951,20541,374
9.972,3080,316,-10292,684,10157,32767
10.08,-21668,13748,-7844,13125,32032,32767
10.187,-32768,-1152,-14576,-16688,26813,32767
10.294,-29712,-14200,-16252,-1769,-5648,-10433
10.401,-27640,8748,-6748,23095,-32768,-9220
10.507,-12568,11364,-1280,-2843,-10423,-3706
10.614,-12556,9064,-68,2059,9505,-10216
10.722,-13912,5992,-5908,4470,9358,-1498
10.829,-17888,7364,-3092,-2483,5636,-1951
10.936,-12624,4240,-12580,-3283,-7487,-8633
11.042,-19468,11412,-9672,-4917,-8539,-14041
11.15,-15956,8924,-2956,-10350,-17534,-6955
11.257,-1764,1512,6376,10912,11000,-12085
11.365,-6196,-1672,-7556,4521,11707,27627
11.472,-32508,9544,-5368,18297,32767,22819
11.578,-9000,-7808,-22120,-32768,32767,-5500
11.686,-21420,9244,-2720,-2974,-12019,-29772
11.794,-4340,8660,-26248,-20695,-29300,8642
11.901,-17036,15856,15928,3741,-20155,-8252
12.008,-13032,4060,-9212,10844,20113,-32768
12.115,-11500,3280,-9716,-145,-3284,5003
12.222,-13128,11804,-2232,5416,-8819,-2998
12.329,-13780,9016,-6612,-7552,-6846,-12462
12.435,-20452,10024,-7176,-2739,-9452,-11692
12.542,-19444,25168,-13696,-9227,-10365,-32522
12.649,8672,-900,-6124,4737,-6690,7835
12.756,4312,1404,-12772,490,1611,29907
12.863,-17828,11608,-8408,14809,25741,32767
12.97,-32768,5652,-10332,-11111,23157,32767
13.076,-22664,872,-2184,16436,-5152,2187
13.19,-16372,32767,-15916,-17533,-32768,-16181
